Unique ID;Brand Name;Model Name;Model Number;Type;U  Processor Brand;U  Processor Name;U  Operating System Name;U  Base Processor Speed Per Core (GHz);U  Physical CPU Cores (count);U  System Memory (GB);WLAN Capability;Ethernet Capability?;Bluetooth Capability;Bluetooth Capability__1;U  Gigabit Ethernet Ports (count);U  Installed System Memory RAM (GB);U  Integrated Display Resolution (megapixels);U  Integrated Display Viewable Screen Area (sq in);U  Number of Storage Drives;;U  Storage Technology
2326233;Fujitsu;ESPRIMO Q558;ESPRIMO Q558;Desktop;Intel;Celeron;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2325906;Lenovo;ideacentre A340-24ICB;F0E6;Integrated Desktop;Intel;Celeron;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;2,07;242,04;2;Conventional;Solid State Drive,Hard Disk Drive
2324759;COMPUMAX;Draco Desktop Series;DRACO-CI7-0001;Desktop;Intel;Celeron;Windows 10;2,9;2;32;No;Yes;No;No;1;32;NA;NA;1;Conventional;Hard Disk Drive
2324723;Fujitsu;ESPRIMO K558/24;ESPRIMO K558/24;Integrated Desktop;Intel;Celeron;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;2,07;242,04;2;Conventional;Solid State Drive,Hard Disk Drive
2324720;Transource;MIRAGE;B1800M;Desktop;Intel;Celeron;Windows 10;2,9;2;8;No;Yes;No;No;1;8;NA;NA;1;Conventional;Hard Disk Drive
2324599;SiComputer;Productiva Quadro;Q1.*#.##.##*;Desktop;Intel;Celeron;Windows 10;2,9;2;16;No;Yes;No;No;1;16;NA;NA;1;Conventional;Solid State Drive
2324598;SiComputer;Productiva XS;X*.*#.##.##*;Desktop;Intel;Celeron;Windows 10;2,9;2;16;No;Yes;No;No;1;16;NA;NA;1;Conventional;Hard Disk Drive
2324509;Transource;SCORCH;SCO-850;Desktop;Intel;Celeron;Windows 10;2,9;2;8;Yes;Yes;No;No;1;8;NA;NA;1;Conventional;Hard Disk Drive
2323434;Lenovo;ThinkCentre M710e;10UQ;Desktop;Intel;G3900;Windows 10;2,8;2;32;Yes;Yes;Yes;Yes;0;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2323002;Apple;21.5-inch iMac;A1418;Integrated Desktop;Intel;NA;Mac OS X;2,3;2;16;Yes;Yes;Yes;Yes;1;16;2,07;197,52;1;Full Capability;Solid State Drive
2322890;HP;HP ElitePOS G1 14 inch Touch AiO Retail System, Model 141 ();ElitePOS G1 14 inch Touch AiO Retail System, Model 141;Integrated Desktop;Intel;Core i5;Windows 10;2,6;2;32;Yes;No;No;No;NA;32;2,07;83,75;1;Conventional;Solid State Drive
2322816;Lenovo;ideacentre AIO 520-22IKU;F0D5;Integrated Desktop;Intel;Core i5;Windows 10;2,5;2;16;Yes;Yes;Yes;Yes;1;16;2,07;197,6;2;Conventional;Solid State Drive,Hard Disk Drive
2322815;Lenovo;ideacentre AIO 520-24IKU;F0D2;Integrated Desktop;Intel;Core i5;Windows 10;2,5;2;16;Yes;Yes;Yes;Yes;1;16;2,07;242,18;2;Conventional;Solid State Drive,Hard Disk Drive
2322814;Lenovo;ideacentre AIO 520-22AST;F0D6;Integrated Desktop;AMD;A9-9420;Windows 10;3;2;16;Yes;Yes;Yes;Yes;1;16;2,07;197,6;2;Conventional;Solid State Drive,Hard Disk Drive
2322336;Intel;Next Unit of Computing;NUC7i3DNKTC;Desktop;Intel;Core i3;Windows 10;2,4;2;4;Yes;Yes;No;No;1;4;NA;NA;1;Conventional;Hard Disk Drive
2322234;Lenovo;ThinkStation P320 Tiny;30C1;Desktop;Intel;G3900T;Windows 10;2,6;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2322232;Lenovo;ideacentre AIO 330-20AST;F0D8;Integrated Desktop;AMD;A6-9200;Windows 10;2;2;8;Yes;Yes;Yes;Yes;1;8;1,3;170,22;1;Conventional;Hard Disk Drive
2322231;Lenovo;Lenovo V410z;10QV;Integrated Desktop;Intel;G4560T;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;2,07;204,25;1;Conventional;Hard Disk Drive
2322229;Lenovo;ThinkCentre M910z;10NR;Integrated Desktop;Intel;G3900;NA;2,8;2;32;Yes;Yes;Yes;Yes;1;32;2,07;244,12;2;Conventional;NA
2322227;Lenovo;ideacentre AIO 730S-24IKB;F0DX;Integrated Desktop;Intel;Core i3;Windows 10;2,3;2;16;Yes;Yes;No;No;1;16;2,07;249,6;2;Conventional;Solid State Drive,Hard Disk Drive
2321224;Lenovo;Lenovo V330-15IGM;10TS;Desktop;Intel;J4105;Windows 10;1,5;4;4;Yes;Yes;Yes;Yes;1;4;NA;NA;1;Conventional;Hard Disk Drive
2321223;Lenovo;ideacentre 310S-08IGM;90HX;Desktop;Intel;J4105;Windows 10;1,5;4;4;Yes;Yes;Yes;Yes;1;4;NA;NA;1;Conventional;Hard Disk Drive
2321003;Lenovo;Lenovo V130-20IGM AIO;10RX;Integrated Desktop;Intel;J5005;Windows 10;1,5;4;8;Yes;Yes;Yes;Yes;1;8;1,29;170,02;2;Conventional;Solid State Drive,Hard Disk Drive
2321002;Lenovo;ideacentre AIO 330-20IGM;F0D7;Integrated Desktop;Intel;J4105;Windows 10;1,5;4;8;Yes;Yes;Yes;Yes;1;8;1,29;170,02;2;Conventional;Solid State Drive,Hard Disk Drive
2320762;Lenovo;ThinkCentre M920x;10S0;Desktop;Intel;G4900T;NA;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;NA
2320761;Lenovo;ThinkCentre M920q;10RR;Desktop;Intel;G4900T;NA;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;NA
2320542;Lenovo;ThinkCentre M720q;10T7;Desktop;Intel;G4900T;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2320529;Lenovo;ThinkCentre M715q;10M2;Desktop;AMD;A6-9500E;Windows 10;3;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;1;Conventional;Hard Disk Drive
2319914;Lenovo;Lenovo V530-22ICB AIO;10US;Integrated Desktop;Intel;Celeron;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;2,07;197,52;2;Conventional;Solid State Drive,Hard Disk Drive
2319892;Lenovo;Lenovo V530-24ICB AIO;10UW;Integrated Desktop;Intel;Celeron;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;2,07;242,04;2;Conventional;Solid State Drive,Hard Disk Drive
2319891;Lenovo;ideacentre AIO 520-24ARR;F0DN;Integrated Desktop;AMD;A6-9500E;Windows 10;3;2;16;Yes;Yes;Yes;Yes;1;16;2,07;242,04;2;Conventional;Solid State Drive,Hard Disk Drive
2319723;Lenovo;ideacentre 510S-07ICB;90K8;Desktop;Intel;Celeron;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2319722;Lenovo;Lenovo V530S-07ICB Desktop;10TX;Desktop;Intel;Celeron;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2332869;COMPUMAX;Saturno Series;Saturno-CI7-0001;Integrated Desktop;Intel;Celeron;Windows 10;3,1;2;32;Yes;Yes;Yes;Yes;2;32;2,07;34,18;1;Conventional;Hard Disk Drive
2332348;ASUS;V241F Series;V241F;Integrated Desktop;Intel;Core i5;Windows 10;1,6;4;4;Yes;Yes;Yes;Yes;1;4;2,07;242,18;1;Conventional;Hard Disk Drive
2331590;Northern Micro;Spirit X299-AS;X299-AS;Desktop;Intel;Core i9;Windows 10;2,9;12;16;No;Yes;No;No;1;16;NA;NA;1;Conventional;Hard Disk Drive
2331543;ASUS;VC66 Series;VC66;Desktop;Intel;Pentium;Windows 10;3,3;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;3;Conventional;Solid State Drive,Hard Disk Drive
2331542;ASUS;UN45 Series;UN45;Desktop;Intel;Celeron;Windows 8.1;1,6;4;8;Yes;Yes;Yes;Yes;1;8;NA;NA;1;Conventional;Solid State Drive
2331541;ASUS;PB60G Series;PB60G;Desktop;Intel;Pentium;Windows 10;3,1;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;Solid State Drive
2331100;ASUS;Chromebox 3;Chromebox 3******************;Desktop;Intel;i5-8250U;Chrome OS;1,6;4;8;Yes;Yes;Yes;Yes;1;8;0;0;1;Conventional;Solid State Drive
2331099;ASUS;UN68U Series;UN68U;Desktop;Intel;Core i5;Windows 10;1,6;4;8;Yes;Yes;Yes;Yes;1;8;NA;NA;1;Conventional;Solid State Drive
2331095;ASUS;VC65-C1 Series;VC65-C1;Desktop;Intel;Pentium Gold;Windows 10;3,1;2;8;Yes;Yes;Yes;Yes;1;8;NA;NA;1;Conventional;Hard Disk Drive
2331093;ASUS;PB60 Series;PB60;Desktop;Intel;Pentium;Windows 10;3,1;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2331092;ASUS;VC65-C Series;VC65-C;Desktop;Intel;Pentium Gold;Windows 10;3,1;2;8;Yes;Yes;Yes;Yes;1;8;NA;NA;1;Conventional;Hard Disk Drive
2331090;ASUS;E520 Series;E520;Desktop;Intel;Core i3;Windows 10;3,4;2;4;Yes;Yes;Yes;Yes;1;4;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2330806;Lenovo;ThinkCentre M710s;10M7;Desktop;Intel;G4400;NA;3,3;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;1;Conventional;NA
2330788;Lenovo;ideacentre A340-24IWL;F0E8;Integrated Desktop;Intel;Core i5;Windows 10;1,6;4;8;Yes;Yes;Yes;Yes;1;8;2,07;242,04;1;Conventional;Hard Disk Drive
2330787;Lenovo;ideacentre A340-22IWL;F0EB;Integrated Desktop;Intel;Core i5;Windows 10;1,6;4;8;Yes;Yes;Yes;Yes;1;8;2,07;197,52;1;Conventional;Hard Disk Drive
2330786;Lenovo;ThinkCentre M710t;10M9;Desktop;Intel;G4400;NA;3,3;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;1;Conventional;NA
2330785;Lenovo;ThinkCentre M715s;10MB;Desktop;AMD;A6-8570;NA;3,5;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;1;Conventional;NA
2330780;Lenovo;ideacentre A340-22ICB;F0E9;Integrated Desktop;Intel;Pentium;Windows 10;3,1;2;32;Yes;Yes;Yes;Yes;1;32;2,07;197,52;2;Conventional;Solid State Drive,Hard Disk Drive
2330779;Lenovo;ThinkCentre M715t;10MD;Desktop;AMD;A6-8570;NA;3,5;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;1;Conventional;NA
2330655;HP;HP ProDesk 400 G4 MT Business PC ();ProDesk 400 G4 MT Business PC;Desktop;Intel;Celeron G4400;Windows 10;3,3;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2330570;DELL;D13S;Inspiron 3470;Desktop;Intel;G4900;Ubuntu;3,1;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;Hard Disk Drive
2330569;DELL;D19M;Inspiron 3668;Desktop;Intel;G4560;Ubuntu;3,5;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;3;Conventional;Hard Disk Drive
2330568;DELL;D19M;Inspiron 3670;Desktop;Intel;G4900;Ubuntu;3,1;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;Hard Disk Drive
2330567;DELL;D19M;ChengMing 3980 Tower;Desktop;Intel;G4900;Ubuntu;3,1;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;Hard Disk Drive
2330566;DELL;D18M;OptiPlex XE3 Tower;Desktop;Intel;G4900;Ubuntu;3,1;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;4;Conventional;Solid State Drive,Hard Disk Drive
2330565;DELL;D18M;OptiPlex 7050 Tower;Desktop;Intel;G4400;Windows 10;3,3;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;4;Conventional;Solid State Drive,Hard Disk Drive
2330564;DELL;D18M;OptiPlex 3050 Tower;Desktop;Intel;G4400;Windows 10;3,3;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;4;Conventional;Solid State Drive,Hard Disk Drive
2330563;DELL;D13S;Vostro 3267;Desktop;Intel;G4400;Ubuntu;3,3;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;Hard Disk Drive
2330100;DELL;D11S;OptiPlex 7060 SFF;Desktop;Intel;G4900;NA;3,1;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;1;Conventional;NA
2330098;Lenovo;ideacentre 310S-08ASR;90G9;Desktop;AMD;A9-9430;NA;3,2;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;NA
2329890;Lenovo;ThinkCentre M910x;10MY;Desktop;Intel;G4560;NA;3,5;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;NA
2329889;Lenovo;ThinkCentre M910q;10MU;Desktop;Intel;i3-6100T;NA;3,2;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;NA
2329887;Lenovo;ThinkCentre M710q;10MQ;Desktop;Intel;i3-6100T;NA;3,2;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;NA
2329880;HP;HP ProDesk 600 G4 MT;;Desktop;Intel;NA;NA;3,2;2;64;Yes;Yes;No;No;1;64;NA;NA;3;Conventional;NA
2329414;DELL;D11S;OptiPlex 3050 SFF;Desktop;Intel;G4400;NA;3,3;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;Hard Disk Drive
2329413;DELL;D11S;OptiPlex 5055 SFF;Desktop;AMD;A6-9500;NA;3,5;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;2;Conventional;NA
2329412;DELL;D18M;OptiPlex 5055 Tower;Desktop;AMD;A6-9500;NA;3,5;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;2;Conventional;NA
2329411;DELL;D07S;OptiPlex XE2 SFF;Desktop;Intel;NA;NA;3,2;2;8;Yes;Yes;Yes;Yes;1;8;NA;NA;1;Conventional;NA
2329410;DELL;D13M;OptiPlex XE2 MT;Desktop;Intel;G3420;NA;3,2;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;NA
2329320;HP;HP EliteOne 800 G3 23.8-in Touch All-in-One PC ();EliteOne 800 G3 23.8-in Touch All-in-One PC;Integrated Desktop;Intel;Pentium;Windows 10;3,5;2;32;Yes;Yes;Yes;Yes;1;32;2,07;242,18;4;Conventional;Solid State Drive,Hard Disk Drive
2329319;HP;HP EliteDesk 705 G3 MT Business PC ();EliteDesk 705 G3 MT Business PC;Desktop;AMD;A6-9500;Windows 10;3,5;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;2;Full Capability;Hard Disk Drive
2329318;HP;HP EliteOne 1000 G1 34-in Curved AiO ();EliteOne 1000 G1 34-in Curved AiO;Integrated Desktop;Intel;Pentium G4400;Windows 10;3,3;2;32;Yes;Yes;Yes;Yes;1;32;4,95;415,05;2;Conventional;Solid State Drive,Other
2329317;HP;HP Z238 Microtower Workstation ;Z238;Desktop;Intel;G4400;Windows 7;3,3;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;2;NA;Hard Disk Drive
2329315;HP;HP EliteDesk 705 G3 SFF Business PC ();EliteDesk 705 G3 SFF Business PC;Desktop;AMD;A6-9500;Windows 10;3,5;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;2;Conventional;Hard Disk Drive
2329314;HP;HP ProDesk 600 G3 MT Business PC ();ProDesk 600 G3 MT Business PC;Desktop;Intel;Celeron;Windows 10;3,3;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;3;Conventional;Hard Disk Drive
2329235;HP;HP RP5 Retail System, Model 5810 ();HP RP5 Retail System, Model 5810;Desktop;Intel;Celeron;Windows 8;3,2;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2329234;HP;HP ProDesk 600 G3 PCI MT Business PC ();ProDesk 600 G3 PCI MT Business PC;Desktop;Intel;Celeron;Windows 10;3,3;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;3;Conventional;Hard Disk Drive
2329229;HP;HP ProDesk 600 G3 SFF Business PC ();ProDesk 600 G3 SFF Business PC;Desktop;Intel;Pentium;Windows 10;3,5;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2329228;HP;HP RP9 G1 AiO Retail System, Model 9015 ();RP9 G1 AiO Retail System, Model 9015;Integrated Desktop;Intel;Pentium G4400;Windows 7;3,3;2;32;Yes;Yes;Yes;Yes;1;32;1,05;103,3;2;Conventional;Solid State Drive
2329227;HP;HP 280 G3 MT Business PC ();280 G3 MT Business PC;Desktop;Intel;Celeron;Windows 10;3,3;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2329224;Lenovo;ideacentre AIO 520-24IKL;F0D1;Integrated Desktop;Intel;i3-7100T;Windows 7,Windows 8,, Windows Vista, Windows 8.1, Windows 10,;3,4;2;16;Yes;Yes;Yes;Yes;1;16;2,07;242,18;2;Conventional;Solid State Drive,Hard Disk Drive
2329223;ASUS;V272U Series;V272U;Integrated Desktop;Intel;Core i5;Windows 10;1,6;4;12;Yes;Yes;Yes;Yes;1;12;2,07;310,47;2;Conventional;Solid State Drive,Hard Disk Drive
2329222;ASUS;V241IC Series;V241IC;Integrated Desktop;Intel;Core i5;Windows 10;1,6;4;8;Yes;Yes;Yes;Yes;1;8;2,07;242,18;2;Conventional;Solid State Drive,Hard Disk Drive
2329221;Acer;D18W6;Veriton Z4660G;Integrated Desktop;Intel;G4900;Windows 10;3,1;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2329218;HP;HP RP9 G1 AiO Retail System, Model 9118 ();RP9 G1 AiO Retail System, Model 9118;Integrated Desktop;Intel;G4400;Windows 10;3,3;2;32;Yes;Yes;Yes;Yes;1;32;1,05;146,2;3;Conventional;Solid State Drive,Hard Disk Drive
2329154;Fujitsu;ESPRIMO G558;ESPRIMO G558;Desktop;Intel;Pentium;Windows 10;3,2;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2329141;DELL;W21C;Inspiron 24-3480;Integrated Desktop;Intel;Core i5;Windows 10;1,6;4;32;Yes;Yes;Yes;Yes;1;32;2,07;242,18;2;Conventional;Solid State Drive,Hard Disk Drive
2329137;Acer;D18Q1;CXI3;Desktop;Intel;Core i5-8250U;Chrome OS;1,6;4;8;Yes;Yes;Yes;Yes;1;8;NA;NA;1;Conventional;Other
2329136;HP;HP Pavilion Desktop 570 ();570-p;Desktop;Intel;G4400;Windows 10;3,3;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2329135;HP;HP Slimline Desktop PC 270 ();270-p;Desktop;Intel;G4400;Windows 10;3,3;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2329132;HP;HP Slim Desktop PC 290 ();290-p;Desktop;Intel;G4900;Windows 10;3,1;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2329131;HP;HP Pavilion Desktop PC 590 ();590-p;Desktop;AMD;PRO A6-9500;Windows 10;3,5;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328977;HP;HP Pavilion Desktop 510 ();510-p;Desktop;Intel;i3-6100T;Windows 10;3,2;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;1;Conventional;Hard Disk Drive
2328975;HP;HP Desktop Pro G2 ();Desktop Pro G2;Desktop;Intel;Celeron G4900;Windows 10;3,1;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2328973;HP;HP Desktop PC 190 ;190;Desktop;AMD;Ryzen 3;Windows 10;3,2;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2328971;HP;HP Desktop Pro A G2 ();Desktop Pro A G2;Desktop;AMD;Ryzen 3;Windows 10;3,2;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2328968;HP;HP EliteDesk 800 G2 DM 65W Business PC;HP EliteDesk 800 G2 DM 65W Business PC ();Desktop;Intel;Pentium;Windows 10;3,5;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328965;ASUS;PN61 Series;PN61;Desktop;Intel;Core i5;Windows 10;1,6;4;8;Yes;Yes;Yes;Yes;1;8;NA;NA;1;Conventional;Solid State Drive
2328964;Acer;Aspire TC-885G;TC-885G;Desktop;Intel;Celeron G4900;Windows 10;3,1;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328960;DELL;W11C;OptiPlex 7450 AIO;Integrated Desktop;Intel;Pentium G4400;Windows 7 ,Windows 10,Ubuntu;3,3;2;32;Yes;Yes;Yes;Yes;1;32;8,29;242,13;2;Conventional;Solid State Drive,Hard Disk Drive
2328958;DELL;W14B;OptiPlex 5250 AIO;Integrated Desktop;Intel;Pentium G4400;Windows 7, Windows 10, Ubuntu;3,3;2;32;Yes;Yes;Yes;Yes;1;32;2,07;197,6;2;Conventional;Solid State Drive,Hard Disk Drive
2328954;DELL;W19B;Inspiron 22-3280;Integrated Desktop;Intel;Core i5;Windows 10,Ubuntu;1,6;4;32;Yes;Yes;Yes;Yes;1;32;2,07;197,95;2;Conventional;Solid State Drive,Hard Disk Drive
2328946;DELL;D10U;OptiPlex 7050 Micro;Desktop;Intel;Pentium G4400;Linux;3,3;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328939;DELL;W18B;OptiPlex 3050 AIO;Integrated Desktop;Intel;Pentium G4400;Windows 7,Linux,Windows 10;3,3;2;32;Yes;Yes;Yes;Yes;1;32;1,44;158,96;2;Conventional;Solid State Drive,Hard Disk Drive
2328928;HP;HP RP9 G1 AiO Retail System, Model 9018 ();RP9 G1 AiO Retail System, Model 9018;Integrated Desktop;Intel;Pentium G4400;Windows 7;3,3;2;32;Yes;Yes;Yes;Yes;1;32;1,05;146,4;2;Conventional;Solid State Drive
2328927;HP;RP9 G1 AiO Retail System, Model 9115 ();RP9 G1 AiO Retail System, Model 9115;Integrated Desktop;Intel;G4400;Windows 10;3,3;2;32;Yes;Yes;Yes;Yes;1;32;1,05;103,4;3;Conventional;Solid State Drive,Hard Disk Drive
2328926;HP;HP EliteDesk 800 G3 TWR Business PC ();EliteDesk 800 G3 TWR Business PC;Desktop;Intel;Celeron;Windows 10;3,5;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;2;Conventional;Hard Disk Drive
2328925;HP;HP EliteDesk 800 G3 SFF Business PC ();EliteDesk 800 G3 SFF Business PC;Desktop;Intel;Celeron;Windows 10;3,5;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;2;Conventional;Hard Disk Drive
2328788;HP;HP Pavilion 27 All-in-One PC;27;Integrated Desktop;Intel;i3-6100T;Windows 10;3,2;2;16;Yes;Yes;Yes;Yes;1;16;3,69;310,5;1;Conventional;Hard Disk Drive
2328763;HP;HP Pavilion Desktop 510 ();510-a;Desktop;Intel;J3710;Windows 10;1,6;4;16;Yes;Yes;Yes;Yes;1;16;NA;NA;1;Conventional;Hard Disk Drive
2328683;HP;HP EliteDesk 800 G3 Desktop Mini ();EliteDesk 800 G3 Desktop Mini;Desktop;Intel;i3-6100T;Windows 7;3,2;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2328666;HP;HP ProDesk 600 G3 Desktop Mini ();ProDesk 600 G3 Desktop Mini;Desktop;Intel;i3-6100T;Windows 7;3,2;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2328659;Acer;D18E1;Veriton S6660G;Desktop;Intel;Celeron G4900;Windows 10;3,1;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;3;Conventional;Solid State Drive,Hard Disk Drive
2328652;Acer;VM5E1;VM4660G;Desktop;Intel;Celeron G4900;Windows 10;3,1;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;5;Conventional;Solid State Drive,Hard Disk Drive
2328583;HP;HP 20 All-in-One PC;20;Integrated Desktop;Intel;Pentium J3710;Windows 10;1,6;4;16;Yes;Yes;Yes;Yes;1;16;2,07;160,89;1;Conventional;Hard Disk Drive
2328582;HP;HP 22 All-in-One PC;22;Integrated Desktop;Intel;Pentium J3710;Windows 10;1,6;4;16;Yes;Yes;Yes;Yes;1;16;2,07;197,6;1;Conventional;Hard Disk Drive
2328483;DELL;D11S;Dell Precision Tower 3420;Desktop;Intel;Pentium;NA;3,5;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;1;Conventional;Hard Disk Drive
2328463;Lenovo;ideacentre 510S-15IKL;90GB;Desktop;Intel;G4560;NA;3,5;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;NA
2328462;Lenovo;ideacentre 510A-15IKL;90GV;Desktop;Intel;G4560;NA;3,5;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;NA
2328457;Lenovo;ideacentre 510-15IKL;90G8;Desktop;Intel;G4560;NA;3,5;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;NA
2328450;HP;HP EliteOne 1000 G1 23.8-in Touch AiO ();EliteOne 1000 G1 23.8-in Touch AiO;Integrated Desktop;Intel;Pentium G4400;Windows 10;3,3;2;32;Yes;Yes;Yes;Yes;1;32;2,07;242,18;2;Conventional;Solid State Drive,Other
2328449;HP;HP Pavilion 24 All-in-One PC;24;Integrated Desktop;Intel;i3-6100T;Windows 10;3,2;2;16;Yes;Yes;Yes;Yes;1;16;2,07;240,95;1;Conventional;Hard Disk Drive
2328448;ASUS;V222U Series;V222U;Integrated Desktop;Intel;Core i5;Windows 10 Pro;1,6;4;8;Yes;Yes;Yes;Yes;1;8;2,07;198,08;2;Conventional;Solid State Drive,Hard Disk Drive
2328445;HP;HP Pavilion Desktop 570 ();570-a;Desktop;AMD;A9-9430;Windows 10;3,2;2;8;Yes;Yes;Yes;Yes;1;8;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328444;HP;HP 24 All-in-One PC;24;Integrated Desktop;Intel;Pentium J3710;Windows 10;1,6;4;16;Yes;Yes;Yes;Yes;1;16;2,07;242,18;1;Conventional;Hard Disk Drive
2328443;ASUS;VC66-C Series;VC66-C;Desktop;Intel;Celeron;Windows 10 Pro;3,2;2;8;Yes;Yes;Yes;Yes;1;8;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328440;HP;HP ProOne 400 G4 20.0-in Non-Touch GPU AiO PC ();ProOne 400 G4 20.0-in Non-Touch GPU AiO PC;Integrated Desktop;Intel;G5400T;Windows 10;3,1;2;32;Yes;Yes;No;No;1;32;1,44;171;2;Conventional;Solid State Drive,Hard Disk Drive
